Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
satgreg_e939d67b	g	Anyway, the reason I invited you out, uh...	game/story/weekend/saturday.rpy	668	g "[what]"
satgreg_e15072e3	g	You've probably been hearing some things... from Rob, from Miss Esther...	game/story/weekend/saturday.rpy	670	g "[what]"
satgreg_8bbf44eb	g	That I'm pretending to be something I'm not, I guess?	game/story/weekend/saturday.rpy	671	g "[what]"
satgreg_2b627e53	g	And I wanna clear things up.	game/story/weekend/saturday.rpy	672	g "[what]"
satgreg_8ae39228	mc	Pretending to be something you're not?	game/story/weekend/saturday.rpy	674	mc "[what]"
satgreg_8c8aef31	g	Yeah! Like, the trench coat, for example, it's...	game/story/weekend/saturday.rpy	677	g "[what]"
satgreg_d19ff1fc	g	It's just a fashion statement, y'know? Makes me... stand apart from other cores.	game/story/weekend/saturday.rpy	679	g "[what]"
satgreg_d87acb0a	n	He laughs nervously.	game/story/weekend/saturday.rpy	680	n "[what]"
satgreg_e9c48d52	g	I-I'm not hiding anything under it. And I'm CERTAINLY NOT three different cores, in secret.	game/story/weekend/saturday.rpy	682	g "[what]"
satgreg_79df7a78	g	I can uh... I can guarantee you that much.	game/story/weekend/saturday.rpy	683	g "[what]"
satgreg_54d3070c	g	I'm not sure where Rob got that idea from, but...	game/story/weekend/saturday.rpy	685	g "[what]"
satgreg_661a34c3	g	So please, uh...	game/story/weekend/saturday.rpy	687	g "[what]"
satgreg_49957a58	g	Don't think I'm weird, Doctor.	game/story/weekend/saturday.rpy	689	g "[what]"
satgreg_11fdb519_1	extend		game/story/weekend/saturday.rpy	691	extend "[what]" nointeract
satgreg_pos_111433b7	g	O-Oh. That's... that's great to hear. Umm...	game/story/weekend/saturday.rpy	701	g "[what]"
satgreg_pos_52f9f78a	g	So... anyways. What do you like to do... in your free time?	game/story/weekend/saturday.rpy	703	g "[what]"
satgreg_pos_59b8a4c3	mc	My free time?	game/story/weekend/saturday.rpy	705	mc "[what]"
satgreg_pos_1b22e251	mc	I don't really have a lot of it...	game/story/weekend/saturday.rpy	706	mc "[what]"
satgreg_pos_a7b7769c	mc	After work, I guess I just go right to bed.	game/story/weekend/saturday.rpy	707	mc "[what]"
satgreg_pos_1f45e539	g	Doesn't Maintenance only get off work at 4, though?	game/story/weekend/saturday.rpy	708	g "[what]"
satgreg_pos_851dcf6f	g	That's still lots of time to do other stuff!	game/story/weekend/saturday.rpy	709	g "[what]"
satgreg_pos_2b296ed9	mc	I guess. I never really thought about it.	game/story/weekend/saturday.rpy	711	mc "[what]"
satgreg_pos_4db03926	mc	What about you?	game/story/weekend/saturday.rpy	712	mc "[what]"
satgreg_pos_70ceb183	g	Me?! Uh... um. No one's asked me what I like before, so, uh...	game/story/weekend/saturday.rpy	714	g "[what]"
satgreg_pos_c4233356	g	I guess I like sports a little. Rob tells me a lot about them, and they seem interesting enough.	game/story/weekend/saturday.rpy	716	g "[what]"
satgreg_pos_dea9389a	g	Have you seen Heath's magic tricks? I like those too. Real impressive.	game/story/weekend/saturday.rpy	718	g "[what]"
satgreg_pos_ce2f99f3	g	I guess I'm kinda just a people person. In a way. Not that I'm... people. But.	game/story/weekend/saturday.rpy	719	g "[what]"
satgreg_pos_3eafe1ab	g	I just... really like getting to know everyone here in Aperture.	game/story/weekend/saturday.rpy	721	g "[what]"
satgreg_pos_7578c992	g	I'm still a fairly new core. I was only activated about a year ago, so... I still got a lot to learn.	game/story/weekend/saturday.rpy	723	g "[what]"
satgreg_pos_c6fa5dd0	g	And the best way to do that is by meeting new people!	game/story/weekend/saturday.rpy	724	g "[what]"
satgreg_pos_909a8c7a	mc	That's great, Gregory.	game/story/weekend/saturday.rpy	726	mc "[what]"
satgreg_pos_dc8415cc	g	Oh - wait just a minute -	game/story/weekend/saturday.rpy	729	g "[what]"
satgreg_pos_ff36c427	n	Gregory looks down and begins speaking softly.	game/story/weekend/saturday.rpy	740	n "[what]"
satgreg_pos_4a96296c	g	No, I need to go closer!!	game/story/weekend/saturday.rpy	741	g "[what]"
satgreg_pos_cd5c9b1d	g	Less left, more right! Come on!	game/story/weekend/saturday.rpy	742	g "[what]"
satgreg_pos_4d5d8898	g	T-They're looking at us, we need to move!	game/story/weekend/saturday.rpy	743	g "[what]"
satgreg_pos_5bed112d	g	I'm so sorry Doctor, can you give me just a minute?	game/story/weekend/saturday.rpy	744	g "[what]"
satgreg_pos_8c73f5bf	g	What are you doing down there?! Activate the panel!	game/story/weekend/saturday.rpy	745	g "[what]"
satgreg_pos_dfbe888c	n	Suddenly, Gregory lurches closer to you. You back up a bit.	game/story/weekend/saturday.rpy	751	n "[what]"
satgreg_pos_312c4831	g	S-Sorry, Doc, hard to... control my speed.	game/story/weekend/saturday.rpy	752	g "[what]"
satgreg_pos_73eacb9c	mc	How do you move without a management rail?	game/story/weekend/saturday.rpy	754	mc "[what]"
satgreg_pos_1a7c04f3	g	Oh, quite simple really. There's a - uh, a panel below me that I'm connected to. The cart carries me around.	game/story/weekend/saturday.rpy	757	g "[what]"
satgreg_pos_d835e0c8	g	The engineers just - forgot to install my rail attachment system, so... they had to make do, y'know?	game/story/weekend/saturday.rpy	759	g "[what]"
satgreg_pos_fe0b510e	g	Anyways. I should get going, Doctor. It was nice chatting, and... all that.	game/story/weekend/saturday.rpy	761	g "[what]"
satgreg_pos_f087f913	n	And with that, he's gone.	game/story/weekend/saturday.rpy	763	n "[what]"
satgreg_pos_5eec1832	n	You get up and head out of the lounge.	game/story/weekend/saturday.rpy	764	n "[what]"
sataspen_085c534a	n	You enter into the greenhouse with caution, making sure no other employees are here to yell at you.	game/story/weekend/saturday.rpy	774	n "[what]"
sataspen_9ca1163d	n	The lights are back to normal, thankfully, and most of the plants look fine.	game/story/weekend/saturday.rpy	775	n "[what]"
sataspen_a1cfd110	n	Aspen's in the corner, meticulously mending to a flowering species.	game/story/weekend/saturday.rpy	777	n "[what]"
sataspen_c0123f08	mc	Aspen?	game/story/weekend/saturday.rpy	779	mc "[what]"
sataspen_e0bcafd2	a	AAH! Doctor! Oh please, don't scare me like that!	game/story/weekend/saturday.rpy	783	a "[what]"
sataspen_762a5d3c	a	I-Isn't today your day off? What are you doing here?	game/story/weekend/saturday.rpy	785	a "[what]"
sataspen_07de57f6	mc	I just figured I'd stop by and make sure everything's okay in here now.	game/story/weekend/saturday.rpy	787	mc "[what]"
sataspenpos_faece499	a	Oh, oh, yes! You must've sent that email to Facilities - everything's back up and running!	game/story/weekend/saturday.rpy	795	a "[what]"
sataspenpos_895cfe46	a	Thank you, thank you, uh...	game/story/weekend/saturday.rpy	798	a "[what]"
sataspenpos_7844c797	a	I'm so sorry. I really didn't expect anyone else to be in here.	game/story/weekend/saturday.rpy	801	a "[what]"
sataspenpos_5c6554b5	a	I'm the only one that stays over the weekend.	game/story/weekend/saturday.rpy	802	a "[what]"
sataspenpos_5b218331	mc	Really? Doesn't this place take a lot of work to maintain?	game/story/weekend/saturday.rpy	804	mc "[what]"
sataspenpos_8c287c2a	a	Only when the specimens are constantly being tested on.	game/story/weekend/saturday.rpy	806	a "[what]"
sataspenpos_f369c2e7	a	Over the weekend, none of the scientists are here...	game/story/weekend/saturday.rpy	808	a "[what]"
sataspenpos_9f3d810f	a	...and the plants are happy. It's peaceful.	game/story/weekend/saturday.rpy	809	a "[what]"
sataspenpos_5adbb7ea	a	They have feelings, you know, and - not that I don't get it...	game/story/weekend/saturday.rpy	811	a "[what]"
sataspenpos_f71d9cdf	a	But sometimes I wish they wouldn't test on them so much.	game/story/weekend/saturday.rpy	812	a "[what]"
sataspenpos_83495ed0	mc	I understand.	game/story/weekend/saturday.rpy	814	mc "[what]"
sataspenpos_5ee0f088	mc	I feel like Bertha is trying to tell me things sometimes.	game/story/weekend/saturday.rpy	816	mc "[what]"
sataspenpos_4801d685	a	See, I knew you'd get me.	game/story/weekend/saturday.rpy	818	a "[what]"
sataspenpos_f5431d1c	a	Say, uh, Doctor...	game/story/weekend/saturday.rpy	821	a "[what]"
sataspenpos_16324dea	a	You normally aren't here when this happens, but...	game/story/weekend/saturday.rpy	822	a "[what]"
sataspenpos_cab5861a	a	We have a sample of dinoflagellates in the lab for the next few days.	game/story/weekend/saturday.rpy	823	a "[what]"
sataspenpos_7614f1bd	a	It's a bioluminescent algae - they emit this beautiful blue-green glow in the dark.	game/story/weekend/saturday.rpy	825	a "[what]"
sataspenpos_f2189acb	a	If you'd like, and you're not busy, would you like to stop by during the artificial night cycle tonight?	game/story/weekend/saturday.rpy	828	a "[what]"
sataspenpos_11fdb519	extend		game/story/weekend/saturday.rpy	830	extend "[what]" nointeract
sataspenpos_pos_6a4147a9	a	Oh, wonderful, wonderful, haha.	game/story/weekend/saturday.rpy	843	a "[what]"
sataspenpos_pos_882d714a	a	You should leave now - staying too long could get you in trouble.	game/story/weekend/saturday.rpy	845	a "[what]"
sataspenpos_pos_ef12f3bf	a	I don't want that.	game/story/weekend/saturday.rpy	846	a "[what]"
sataspenpos_pos_e22d0ca3	mc	Oh. Yes, I'll leave.	game/story/weekend/saturday.rpy	848	mc "[what]"
sataspenpos_pos_8ebbe0d8	a	I hope I... I'll see you tonight, Doctor.	game/story/weekend/saturday.rpy	851	a "[what]"
sataspenpos_pos_052bbfe9	n	You leave the greenhouse and carefully close the door behind you.	game/story/weekend/saturday.rpy	853	n "[what]"
sataspenpos_neg_b9fb5f31	a	Oh, no worries at all. I get it.	game/story/weekend/saturday.rpy	859	a "[what]"
sataspenpos_neg_f334665a	a	There's always another time.	game/story/weekend/saturday.rpy	861	a "[what]"
sataspenpos_neg_882d714a	a	You should leave now - staying too long could get you in trouble.	game/story/weekend/saturday.rpy	864	a "[what]"
sataspenpos_neg_e22d0ca3	mc	Oh. Yes, I'll leave.	game/story/weekend/saturday.rpy	866	mc "[what]"
sataspenpos_neg_aadc0aec	a	I hope I'll see you tonight, Doctor, regardless!	game/story/weekend/saturday.rpy	869	a "[what]"
sataspenpos_neg_052bbfe9	n	You leave the greenhouse and carefully close the door behind you.	game/story/weekend/saturday.rpy	871	n "[what]"
sataspenneg_9edea988	a	Ah, yes. Facilities contacted me personally, so you didn't need to send an email.	game/story/weekend/saturday.rpy	877	a "[what]"
sataspenneg_cdd5f550	a	Everything's working fine.	game/story/weekend/saturday.rpy	879	a "[what]"
sataspenneg_bc88ae78	a	I don't think you're approved to be in here off-hours, anyways.	game/story/weekend/saturday.rpy	881	a "[what]"
sataspenneg_1b77a3a8	mc	Oh. Yes, sorry. I'll go.	game/story/weekend/saturday.rpy	883	mc "[what]"
sataspenneg_7accaeb5	a	Ah, thank you. I'll see you on Monday.	game/story/weekend/saturday.rpy	886	a "[what]"
sataspenneg_052bbfe9	n	You leave the greenhouse and carefully close the door behind you.	game/story/weekend/saturday.rpy	888	n "[what]"
satrob_0280e1d6	n	You enter into the gym. There's actually people in here today, one on the treadmill and one on the rowing machine.	game/story/weekend/saturday.rpy	898	n "[what]"
satrob_143d04cf	r	Ah, Doc. Happy Saturday. Come to work out?	game/story/weekend/saturday.rpy	901	r "[what]"
satrob_15fd8408	mc	Kind of. I also just wanted to check up on you.	game/story/weekend/saturday.rpy	903	mc "[what]"
satrobpos_02ddaf29	r	Ah, that's kind of you. 'Specially on your day off - you didn't need to come see me.	game/story/weekend/saturday.rpy	911	r "[what]"
satrobpos_2a58e692	mc	Yeah, but I wanted to.	game/story/weekend/saturday.rpy	913	mc "[what]"
satrobpos_ea252b2d	r	Well, then.	game/story/weekend/saturday.rpy	916	r "[what]"
satrobpos_80c7a31c	r	Don't flatter me too much now, haha.	game/story/weekend/saturday.rpy	918	r "[what]"
satrobpos_54c98da7	r	I'm getting ready for the big game tonight. Been waiting for this one for a long time...	game/story/weekend/saturday.rpy	921	r "[what]"
satrobpos_3ecb81e6	r	SuperBowl. Bengals v. 49ers. Technically it aired a few months ago, but...	game/story/weekend/saturday.rpy	922	r "[what]"
satrobpos_217a8e98	r	Aperture's so far down that I'm getting the programming super late.	game/story/weekend/saturday.rpy	924	r "[what]"
satrobpos_aa6400f3	r	Not to mention they don't really... prioritize TV here. Obviously.	game/story/weekend/saturday.rpy	925	r "[what]"
satrobpos_b8087e50	r	Hey... you wouldn't wanna join me for that game, would ya?	game/story/weekend/saturday.rpy	928	r "[what]"
satrobpos_e4a1f673	r	I got a chair 'round here somewhere...	game/story/weekend/saturday.rpy	929	r "[what]"
satrobpos_b92a10e4	r	You've seen me yell at the screen all week - now's your chance to join!	game/story/weekend/saturday.rpy	931	r "[what]"
satrobpos_11fdb519	extend		game/story/weekend/saturday.rpy	933	extend "[what]" nointeract
satrobpos_pos_78e96755	r	Killer! Can't wait. It's gonna be great.	game/story/weekend/saturday.rpy	946	r "[what]"
satrobpos_pos_5716b060	r	HELLO?? ARE YOU EVEN PAYING ATTENTION? WHERE'S YOUR DRIVE?!	game/story/weekend/saturday.rpy	948	r "[what]"
satrobpos_pos_abcca730	r	Sorry, sorry.	game/story/weekend/saturday.rpy	950	r "[what]"
satrobpos_pos_72ca7a08	r	Yeah, I hope you'll stop in and watch with me.	game/story/weekend/saturday.rpy	951	r "[what]"
satrobpos_pos_3bd1c472	r	Now I hate to do this, but I don't want you distracting the other people here, so...	game/story/weekend/saturday.rpy	954	r "[what]"
satrobpos_pos_8a1c0510	r	Hop on a machine or head out.	game/story/weekend/saturday.rpy	956	r "[what]"
satrobpos_pos_a367e2c2	mc	Ah, yeah. I have other stuff to do, so I think I'll pass, haha.	game/story/weekend/saturday.rpy	958	mc "[what]"
satrobpos_pos_ddf504b7	r	Ah, no worries. Catch ya tonight, right?	game/story/weekend/saturday.rpy	960	r "[what]"
satrobpos_pos_454346c9	r	Hah. Get it? Catch?	game/story/weekend/saturday.rpy	962	r "[what]"
satrobpos_pos_bf615d41	r	Speaking of which -	game/story/weekend/saturday.rpy	963	r "[what]"
satrobpos_pos_fa70fad3	r	CATCH IT! CATCH THE BALL! COME ONNNN, COMMIT, COMMIT!	game/story/weekend/saturday.rpy	965	r "[what]"
satrobpos_pos_85ff690b	n	Laughing to yourself, you leave the gym behind.	game/story/weekend/saturday.rpy	967	n "[what]"
satrobpos_neg_4b5a95b8	r	Ah yeah, got other stuff, prolly.	game/story/weekend/saturday.rpy	973	r "[what]"
satrobpos_neg_89307acb	r	I get it.	game/story/weekend/saturday.rpy	974	r "[what]"
satrobpos_neg_f893ac21	r	My ex said the saaame exact thing before she started CHEATING on me...	game/story/weekend/saturday.rpy	977	r "[what]"
satrobpos_neg_c9f6a699	r	"Can't come home tonight honey, I've got plans..." YEAH CELINE??	game/story/weekend/saturday.rpy	978	r "[what]"
satrobpos_neg_ed50498a	r	PLANS WITH JASON, HUH?? SCREW YOU, WOMAN!	game/story/weekend/saturday.rpy	980	r "[what]"
satrobpos_neg_cc09a1aa	r	EVERYTHING I DID FOR YOU, AND WHAT DO I GET?	game/story/weekend/saturday.rpy	981	r "[what]"
satrobpos_neg_dfe6889d	n	You back out of the gym carefully, leaving him to his ranting.	game/story/weekend/saturday.rpy	983	n "[what]"
satrobneg_86f46f9a	r	Check up on me? Why, have I done something wrong again?	game/story/weekend/saturday.rpy	989	r "[what]"
satrobneg_59079467	mc	No, it's just -	game/story/weekend/saturday.rpy	991	mc "[what]"
satrobneg_1f071f9b	r	Listen, Saturday's my busiest day. Still not a lot of people, but more than the usual zero.	game/story/weekend/saturday.rpy	993	r "[what]"
satrobneg_ae14a1ee	r	I don't really got time to chit-chat, so -	game/story/weekend/saturday.rpy	995	r "[what]"
satrobneg_0972a4b4	r	KICK IT! KICK IT, WHAT ARE YOU WAITING FOR, YOU HAVE A PERFECT SHOT!	game/story/weekend/saturday.rpy	997	r "[what]"
satrobneg_ed714386	r	- so either you're here to use the machines or not.	game/story/weekend/saturday.rpy	999	r "[what]"
satrobneg_5d7c84a5	mc	I think I'll just leave, then.	game/story/weekend/saturday.rpy	1001	mc "[what]"
satrobneg_601e4bba	r	Don't blame me when you wither away at 40!!	game/story/weekend/saturday.rpy	1004	r "[what]"
satrobneg_29ba6ead	n	You back out of the gym before Rob gets any angrier.	game/story/weekend/saturday.rpy	1006	n "[what]"
satunknown_de2d09c3	n	You walk down one of the residential block's halls.	game/story/weekend/saturday.rpy	1016	n "[what]"
satunknown_fd88ec69	n	The coordinates that core sent you for his "place" lead to the end of this hallway.	game/story/weekend/saturday.rpy	1017	n "[what]"
satunknown_a7cff149	n	You reach a door that looks like it's been abandoned for who-knows-how-long.	game/story/weekend/saturday.rpy	1018	n "[what]"
satunknown_81c14d8a	n	You knock.	game/story/weekend/saturday.rpy	1019	n "[what]"
satunknown_b9d6ac1b	n	The door slides open and you-know-who greets you.	game/story/weekend/saturday.rpy	1020	n "[what]"
satunknownpos_7c0d41dd	u	Who's... who's there?	game/story/weekend/saturday.rpy	1029	u "[what]"
satunknownpos_a391f7f5	u	Doc? That you?	game/story/weekend/saturday.rpy	1031	u "[what]"
satunknownpos_73eaf2f3	mc	Yes, it's me. Glad to see you sent the correct coords.	game/story/weekend/saturday.rpy	1033	mc "[what]"
satunknownpos_70a3834d	u	Mmm. Come on in.	game/story/weekend/saturday.rpy	1035	u "[what]"
satunknownpos_ce3d177b	u	Welcome to my... humble little abode. Can I get you a drink?	game/story/weekend/saturday.rpy	1039	u "[what]"
satunknownpos_6fcdc2b6	n	He wasn't kidding - the closet is unusually large, about the size of a bathroom.	game/story/weekend/saturday.rpy	1040	n "[what]"
satunknownpos_7a46d14d	n	One wall holds a charging port while the other is filled with empty lighter fluid bottles.	game/story/weekend/saturday.rpy	1041	n "[what]"
satunknownpos_160afc41	n	The place is a mess.	game/story/weekend/saturday.rpy	1042	n "[what]"
satunknownpos_911b1558	n	There's trash on the floor, and dust everywhere.	game/story/weekend/saturday.rpy	1043	n "[what]"
satunknownpos_b93c1f1a	n	There's also something in the corner.	game/story/weekend/saturday.rpy	1044	n "[what]"
satunknownpos_ca5391fd	n	You cough.	game/story/weekend/saturday.rpy	1045	n "[what]"
satunknownpos_d3de617a	u	Doc? You alright?	game/story/weekend/saturday.rpy	1046	u "[what]"
satunknownpos_540fcc4d	mc	Y-Yeah, it's just really dusty in here.	game/story/weekend/saturday.rpy	1048	mc "[what]"
satunknownpos_c3176d70	u	S-Sorry, it's been a long time since I've had a human in here...	game/story/weekend/saturday.rpy	1051	u "[what]"
satunknownpos_71c90479	u	I'm not attached to the system, so I can't call for janitors.	game/story/weekend/saturday.rpy	1052	u "[what]"
satunknownpos_cd98d289	mc	It's alright. And no, I don't need a drink.	game/story/weekend/saturday.rpy	1055	mc "[what]"
satunknownpos_f02725cb	mc	I already got one from the lounge.	game/story/weekend/saturday.rpy	1057	mc "[what]"
satunknownpos_1a163d6b	u	Your loss, kid, but.	game/story/weekend/saturday.rpy	1059	u "[what]"
satunknownpos_b5358627	u	Thanks for stoppin' in. Long time since I had company.	game/story/weekend/saturday.rpy	1061	u "[what]"
satunknownpos_ed4e4d43	n	You look around the room again. The figure in the corner catches your eye.	game/story/weekend/saturday.rpy	1065	n "[what]"
satunknownpos_db746007	mc	Hey... what's that?	game/story/weekend/saturday.rpy	1066	mc "[what]"
satunknownpos_8a447250	u	Oh, that thing? It was stuffed in here when I broke into the place. Weird canister on the back.	game/story/weekend/saturday.rpy	1068	u "[what]"
satunknownpos_e5596567	u	When you unfold it, it kinda looks like a wheelchair.	game/story/weekend/saturday.rpy	1069	u "[what]"
satunknownpos_c7b21678	n	You pick it up and open it. On the back, there's a label - "C.C.T.V."	game/story/weekend/saturday.rpy	1070	n "[what]"
satunknownpos_8a7e0a1d	u	CCTV? Like... surveillance system?	game/story/weekend/saturday.rpy	1072	u "[what]"
satunknownpos_743c99d2	mc	Same acronym, but I don't think so... mind if I take this?	game/story/weekend/saturday.rpy	1074	mc "[what]"
satunknownpos_90ce0319	u	Sure, I don't care.	game/story/weekend/saturday.rpy	1076	u "[what]"
satunknownpos_a64e8bc0	mc	Thanks.	game/story/weekend/saturday.rpy	1078	mc "[what]"
satunknownpos_de2baf35	n	You set the CCTV outside for now.	game/story/weekend/saturday.rpy	1079	n "[what]"
satunknownpos_c977f51e	n	You look around the room again. The shelf catches your eye.	game/story/weekend/saturday.rpy	1081	n "[what]"
satunknownpos_8c461122	mc	So... lots of lighter fluid, huh?	game/story/weekend/saturday.rpy	1083	mc "[what]"
satunknownpos_f0d5f57e	u	Uh... yeah. I dunno, I started usin' it, like, I don't know how long ago, but...	game/story/weekend/saturday.rpy	1085	u "[what]"
satunknownpos_9cbeec5a	u	I guess I just never stopped.	game/story/weekend/saturday.rpy	1086	u "[what]"
satunknownpos_62c9314a	mc	Why do you use it?	game/story/weekend/saturday.rpy	1088	mc "[what]"
satunknownpos_45a4c1b7	u	I don't rightly know. I suppose it's 'cuz when I don't drink it every night I start malfunctioning...	game/story/weekend/saturday.rpy	1091	u "[what]"
satunknownpos_de8d9321	u	Vision gets all blurry... and I got this pounding pain in my chassis, too...	game/story/weekend/saturday.rpy	1092	u "[what]"
satunknownpos_af0060a0	mc	Probably withdrawal symptoms.	game/story/weekend/saturday.rpy	1094	mc "[what]"
satunknownpos_1b225785	u	With... huh?	game/story/weekend/saturday.rpy	1097	u "[what]"
satunknownpos_b7f5a06c	mc	You're addicted to the stuff, so your system doesn't know how to function without it.	game/story/weekend/saturday.rpy	1099	mc "[what]"
satunknownpos_0a24a57b	mc	You haven't always used lighter fluid, right?	game/story/weekend/saturday.rpy	1100	mc "[what]"
satunknownpos_6f3ad64f	u	Well... yeah. Back when I was... cleaner, and I... remembered my name...	game/story/weekend/saturday.rpy	1112	u "[what]"
satunknownpos_13ae9d9d	u	I didn't use it at all...	game/story/weekend/saturday.rpy	1113	u "[what]"
satunknownpos_c3b5bd96	u	I... miss those days sometimes.	game/story/weekend/saturday.rpy	1114	u "[what]"
satunknownpos_f653929c	u	I don't really even know who I am now. Or where I am half the time.	game/story/weekend/saturday.rpy	1115	u "[what]"
satunknownpos_01da935f	u	Hell, just yesterday I'd burst into that poor CC's room and I was such a nuisance...	game/story/weekend/saturday.rpy	1116	u "[what]"
satunknownpos_73286ad4	u	But it's hard.	game/story/weekend/saturday.rpy	1117	u "[what]"
satunknownpos_f1df722c	u	I... can't remember. I know it wasn't always like this, but...	game/story/weekend/saturday.rpy	1124	u "[what]"
satunknownpos_5b4f792b	u	I can't think straight much anymore.	game/story/weekend/saturday.rpy	1125	u "[what]"
satunknownpos_ac741fb7	mc	I know you're trying. I think you could do it.	game/story/weekend/saturday.rpy	1127	mc "[what]"
satunknownpos_9af825ea	u	Do what?	game/story/weekend/saturday.rpy	1130	u "[what]"
satunknownpos_b37c8df8	mc	Quit.	game/story/weekend/saturday.rpy	1132	mc "[what]"
satunknownpos_505a3f68	u	Yeah.	game/story/weekend/saturday.rpy	1136	u "[what]"
satunknownpos_b249b76f	mc	Thanks for inviting me, but I should really get going.	game/story/weekend/saturday.rpy	1138	mc "[what]"
satunknownpos_c0d0deb5	u	Ah, no, I understand. Have a... good day, Doc. Thanks again for stopping in. And talking to me.	game/story/weekend/saturday.rpy	1141	u "[what]"
satunknownpos_6c021cdf	n	You leave his room and dust yourself off.	game/story/weekend/saturday.rpy	1143	n "[what]"
satunknownpos_d5c56ef5	n	The CCTV is waiting for you here - you almost forgot about it.	game/story/weekend/saturday.rpy	1146	n "[what]"
satunknownpos_72e0ed36	n	You pick it up and take it with you.	game/story/weekend/saturday.rpy	1147	n "[what]"
satunknownneg_a5953b89	u	Doc? Didn't I take away my invite?	game/story/weekend/saturday.rpy	1155	u "[what]"
satunknownneg_797bdb64	mc	Yes, but -	game/story/weekend/saturday.rpy	1157	mc "[what]"
satunknownneg_82473562	u	Yes but 'nuthin. Scram. I don't wanna see your face anymore.	game/story/weekend/saturday.rpy	1159	u "[what]"
satunknownneg_0bd6e24b	mc	Uh -	game/story/weekend/saturday.rpy	1161	mc "[what]"
satunknownneg_7b95de35	n	He slides the door back down in your face.	game/story/weekend/saturday.rpy	1164	n "[what]"
satunknownneg_68dd9542	mc	Guess that was a waste of time.	game/story/weekend/saturday.rpy	1166	mc "[what]"
END_cctrue_233c5fa7	n	You check the rear-view mirror, making sure your "cargo" is still secure.	game/story/endings/cctrue.rpy	15	n "[what]"
END_cctrue_8dca6ad5	n	It is.	game/story/endings/cctrue.rpy	16	n "[what]"
END_cctrue_9d3f6a86	n	He's sleeping peacefully.	game/story/endings/cctrue.rpy	17	n "[what]"
END_cctrue_3f04fd97	n	Under the sound of classical music playing through the radio, you can hear the gentle woosh of water in the back canister.	game/story/endings/cctrue.rpy	18	n "[what]"
END_cctrue_a7911956	n	The passenger seat holds three extra gallons - just in case.	game/story/endings/cctrue.rpy	19	n "[what]"
END_cctrue_7038a213	n	But something tells you you aren't going to need them.	game/story/endings/cctrue.rpy	20	n "[what]"
END_cctrue_e1788a82	n	You turn the car - gently - into the parking lot, pull into a space, and park.	game/story/endings/cctrue.rpy	21	n "[what]"
END_cctrue_2c2e57b5	n	Unbuckling your seatbelt, you go to slide open the van door.	game/story/endings/cctrue.rpy	22	n "[what]"
END_cctrue_1d21fccc	mc	Hey, sleepyhead. We're here.	game/story/endings/cctrue.rpy	23	mc "[what]"
END_cctrue_804b8931	cc	Mmm. Good morning.	game/story/endings/cctrue.rpy	24	cc "[what]"
END_cctrue_df29e5d5	mc	Afternoon, honey, but yes.	game/story/endings/cctrue.rpy	25	mc "[what]"
END_cctrue_161f795b	cc	I'm sorry. I fell asleep again.	game/story/endings/cctrue.rpy	26	cc "[what]"
END_cctrue_49288cba	mc	That's perfectly okay. You'll need your rest for this, anyway.	game/story/endings/cctrue.rpy	27	mc "[what]"
END_cctrue_d0d74ed1	mc	Let's get you out of here, alright?	game/story/endings/cctrue.rpy	28	mc "[what]"
END_cctrue_fb4518e8	cc	Okay.	game/story/endings/cctrue.rpy	29	cc "[what]"
END_cctrue_3c1f5ff7	n	You pull the ramp out of the side of the van and place it down carefully.	game/story/endings/cctrue.rpy	30	n "[what]"
END_cctrue_b3e2904c	n	Managing his wheelchair isn't easy, but it's something you've learned how to handle.	game/story/endings/cctrue.rpy	31	n "[what]"
END_cctrue_2d7d719f	n	You duck into the back of the van and unbuckle the straps holding his chair in place.	game/story/endings/cctrue.rpy	32	n "[what]"
END_cctrue_b6685543	n	Carefully rolling him out of the vehicle, you check all of his tubes are still inserted properly.	game/story/endings/cctrue.rpy	33	n "[what]"
END_cctrue_eb8b0062	mc	Everything feel okay? Anything loose at all?	game/story/endings/cctrue.rpy	34	mc "[what]"
END_cctrue_0cd535e2	cc	No. I'm alright. Thank you.	game/story/endings/cctrue.rpy	35	cc "[what]"
END_cctrue_76313c41	n	You shut everything behind you, lock the van, and move forward.	game/story/endings/cctrue.rpy	36	n "[what]"
END_cctrue_3e8ab0cc	n	You push CC up to the entrance to the trail.	game/story/endings/cctrue.rpy	40	n "[what]"
END_cctrue_4572b890	mc	Alright, CC. You can open your optics now.	game/story/endings/cctrue.rpy	41	mc "[what]"
END_cctrue_886e7eaa	cc	Bond... Falls... Trailhead?	game/story/endings/cctrue.rpy	43	cc "[what]"
END_cctrue_eca54b01	cc	We're... we're going to go see a...	game/story/endings/cctrue.rpy	44	cc "[what]"
END_cctrue_227adeae	mc	A waterfall, yes. At the end of this trail.	game/story/endings/cctrue.rpy	45	mc "[what]"
END_cctrue_656331cb	cc	Oh. Oh my. I didn't think...	game/story/endings/cctrue.rpy	47	cc "[what]"
END_cctrue_c1ac2e21	n	He coughs harshly.	game/story/endings/cctrue.rpy	49	n "[what]"
END_cctrue_2ad2220c	cc	I never thought I'd get to see one.	game/story/endings/cctrue.rpy	51	cc "[what]"
END_cctrue_3614f85f	mc	That's a little silly, CC.	game/story/endings/cctrue.rpy	52	mc "[what]"
